id;id_ex;siret;rup_mi;gestion;date_creat;date_decla;date_publi;date_disso;nature;groupement;titre;titre_court;objet;objet_social1;objet_social2;adrs_complement;adrs_numvoie;adrs_repetition;adrs_typevoie;adrs_libvoie;adrs_distrib;adrs_codeinsee;adrs_codepostal;adrs_libcommune;adrg_declarant;adrg_complemid;adrg_complemgeo;adrg_libvoie;adrg_distrib;adrg_codepostal;adrg_achemine;adrg_pays;dir_civilite;siteweb;publiweb;observation;position;maj_time
"W9S1000001";"380290408";"";"";"9S1P";"2008-04-28";"2010-07-07";"2008-05-24";"2010-07-07";"D";"S";"ATLANTIS";"ATLANTIS";"développement des relations entre Saint-Pierre-et-Miquelon et les provinces Atlantiques Canadiennes pour des actions communes dans les domaines suivants : agriculture, aquaculture, surveillance vétérinaire, culture, éducation, sport, tourisme, économie, santé et sécurité";"023045";"000000";"Service de l'Education nationale";"";"";"";"";"BP 4239_";"97502";"97500";"Saint-Pierre";"";"9 rue Maître Georges Lefèvre";"";"";"BP 4305";"97500";"Saint-Pierre";"FRANCE";"PF";"";"1";"";"D";"2011-01-05 20:00:02"
"W9S1000002";"214220294";"";"";"9S1P";"1994-02-18";"2017-01-25";"1994-03-23";"0001-01-01";"D";"S";"LES PIQUEUSES DE BRUMES";"LES PIQUEUSES DE BRUMES";"réunir les personnes qui pratiquent le patchwork, aider à la diffusion de cet art par la programmation régulière de cours et par des expositions d'ouvrages";"007080";"000000";"";"";"";"BD";"Port en Bessin";"BP 187_";"97502";"97500";"Saint-Pierre";"";"";"";"BOULEVARD PORT EN BESSIN";"BP 187";"97500";"SAINT-PIERRE";"FRANCE";"PF";"";"1";"";"A";"2017-01-26 13:36:25"
"W9S1000003";"349130106";"";"";"9S1P";"2006-01-10";"2010-10-15";"2006-02-25";"0001-01-01";"D";"S";"COMITE REGIONAL DU TOURISME DE SAINT-PIERRE-ET-MIQUELON";"COMITE REGIONAL DU TOURISME DE SAIN...";"concourir au développement des activités touristiques dans l'archipel de Saint-Pierre-et-Miquelon";"034240";"000000";"Conseil général";"";"";"PL";"Monseigneur Maurer";"_";"97502";"97500";"Saint-Pierre";"";"Conseil général";"";"Place Monseigneur Maurer";"";"97500";"Saint-Pierre";"FRANCE";"PM";"";"1";"";"A";"2010-10-21 20:20:03"
"W9S1000004";"58310877";"";"";"9S1P";"1977-08-31";"2021-09-22";"1977-09-15";"0001-01-01";"D";"S";"VIVRE ENSEMBLE";"VIVRE ENSEMBLE";"réunir les familles, y compris les frères et sœurs, ayant un handicap tant mental que physique ; renforcer la mobilisation des personnes sensibles à la question du handicap ; favoriser l'intégration de la personne handicapée, notamment professionnelle, dans la société ; trouver des solutions permettant une continuité dans l'accompagnement et une réponse adaptée aux besoins de la personne handicapée qui nous est confiée ; permettre aux familles de bénéficier pour leurs enfants de formules d'accueil séquentiel et/ou temporaire ; se porter partie civile, si elle le juge nécessaire, dans toute situation où elle estime qu'une personne ayant un handicap mental ou sa famille subit un préjudice ; en un mot, par tous les moyens, sans distinction de race, de classe, d'opinion religieuse ou philosophique : apporter aux personnes handicapées et à leurs familles, l'appui moral et matériel dont elles ont besoin, et développer entre elles un esprit d'entraide et de solidarité";"009010";"000000";"Centre Georges Gaspard";"";"";"RUE";"maréchal de Lattre de Tassigny";"BP 827_";"97502";"97500";"Saint-Pierre";"JUGAN Marie";"";"";"RUE MARECHAL DE LATTRE DE TASSIGNY";"";"97500";"SAINT-PIERRE";"FRANCE";"PF";"";"1";"";"A";"2021-09-24 14:44:36"
"W9S1000005";"208110293";"";"";"9S1P";"1993-02-09";"2016-04-09";"1993-03-17";"0001-01-01";"D";"S";"KARATE CLUB SAINT-PIERRAIS";"KARATE CLUB SAINT-PIERRAIS";"diffuser les techniques et les connaissances dans le domaine du karaté et du budo japonais";"011150";"000000";"";"";"";"PL";"Monseigneur Maurer";"BP 4419_";"97502";"97500";"Saint-Pierre";"";"PLACE MONSEIGNEUR MAURER";"";"";"BP 4419";"97500";"SAINT-PIERRE";"FRANCE";"PM";"";"1";"";"A";"2016-04-13 19:39:48"
"W9S1000006";"";"";"";"9S1P";"2010-09-08";"2010-09-08";"0001-01-01";"0001-01-01";"D";"S";"ASSOCIATION CULTURELLE LINGUISTIQUE - A.C.I.L.";"LA P'TITE LANTERNE";"enseignement pour adultes, initiation aux langues étrangères suivantes : espagnol, japonais, russe à partir de débutants jusqu'au niveau de connaissances pratiques ; humanitaire pour ces pays";"015087";"009000";"";"12";"";"RUE";"François Planté";"BP 1086_";"97502";"97500";"Saint-Pierre";"";"";"";"12  rue François Planté";"BP 1086";"97500";"Saint-Pierre";"FRANCE";"PF";"";"0";"";"S";"2011-03-09 20:00:01"
"W9S1000007";"";"";"";"9S1P";"2010-09-08";"2010-09-08";"0001-01-01";"0001-01-01";"D";"S";"ASSOCIATION CULTURELLE D'INITIATION LINGUISTIQUE - LA P'TITE LANTERNE";"A.C.I.L.";"enseignement pour adultes, initiation aux langues étrangères suivantes : espagnol, japonais, russe à partir de débutants jusqu'au niveau de connaissances pratiques ; humanitaire pour ces pays";"015087";"000000";"";"12";"";"RUE";"François Planté";"BP 1086_";"97502";"97500";"Saint-Pierre";"";"";"";"12  rue François Planté";"BP 1086";"97500";"Saint-Pierre";"FRANCE";"PF";"";"0";"";"A";"2011-03-09 20:00:01"
"W9S1000008";"";"";"";"9S1P";"2010-09-10";"2018-06-08";"0001-01-01";"2018-06-07";"D";"S";"LES ROSES DES SABLES";"LES ROSES DES SABLES";"promouvoir et/ou participer aux échanges culturels et humanitaires entre Saint-Pierre et Miquelon, l'Europe, l'Afrique, l'Amérique du Sud, l'Amérique du Nord et de permettre la participation aux rallyes 100% féminin.";"009015";"000000";"";"3";"";"RUE";"Emile Poirier";"BP 958_";"97502";"97500";"Saint-Pierre";"";"";"";"3  rue Emile Poirier";"BP 958";"97500";"Saint-Pierre";"FRANCE";"PF";"";"0";"";"D";"2018-06-08 13:19:32"
"W9S1000009";"252";"";"";"9S1P";"2010-10-01";"2010-10-01";"0001-01-01";"0001-01-01";"D";"S";"ADIEU LE LAIT";"ADIEU LE LAIT";"organisation de spectacles, vente et production de CD ou d'articles promotionnels ainsi que toute opération financière ou commerciale du groupe de musiciens ""Dode"" n'ayant pas pour finalité de générer des revenus pour ses membres";"006100";"000000";"";"2";"";"RUE";"Sauveur Ledret";"BP 4224_";"97502";"97500";"Saint-Pierre";"";"";"";"2  rue Sauveur Ledret";"BP 4224";"97500";"Saint-Pierre";"FRANCE";"PM";"";"0";"";"A";"2020-03-11 13:04:28"
"W9S1000010";"376260208";"";"";"9S1P";"2008-02-22";"2017-05-29";"2008-03-29";"0001-01-01";"D";"S";"LIGUE DE VOLLEY-BALL DE SAINT-PIERRE-ET-MIQUELON";"LIGUE DE VOLLEY-BALL DE SAINT-PIERR...";"organe de décentralisation de la fédération française de volley-ball, la ligue regroupe les associations sportives ayant leur siège à Saint-Pierre-et-Miquelon et qui ont pour activité la pratique du volley-ball";"011085";"000000";"";"";"";"";"";"BP 4232_";"97502";"97500";"Saint-Pierre";"";"";"";"";"BP 4232";"97500";"Saint-Pierre";"FRANCE";"PM";"";"1";"";"A";"2017-05-30 18:38:18"
