id;id_ex;siret;rup_mi;gestion;date_creat;date_decla;date_publi;date_disso;nature;groupement;titre;titre_court;objet;objet_social1;objet_social2;adrs_complement;adrs_numvoie;adrs_repetition;adrs_typevoie;adrs_libvoie;adrs_distrib;adrs_codeinsee;adrs_codepostal;adrs_libcommune;adrg_declarant;adrg_complemid;adrg_complemgeo;adrg_libvoie;adrg_distrib;adrg_codepostal;adrg_achemine;adrg_pays;dir_civilite;siteweb;publiweb;observation;position;maj_time
"W551000001";"2638";"";"";"741P";"1998-07-28";"2011-09-12";"1998-08-15";"0001-01-01";"D";"S";"HATHA-YOGA RELAXATION";"HATHA-YOGA RELAXATION";"Enseignement du yoga et éventuellement d'autres méthodes visant à l'épanouissement de l'être.";"011105";"00000";"";"387";" ";"RTE";"des Ailles";"_";"74303";"74370";"Villaz";"";"";"";"387  ROUTE DES AILLES";"";"74370";"VILLAZ";"FRANCE";"PF";"";"1";"Le transfert dans le 05 en mai 2002 a été passé au JO par la Meuse mais n'avait pas été enregistré dans le 05. Dossier mis à jo";"A";"2012-03-12 20:00:05"
"W551000002";"";"";"";"551P";"2006-03-10";"2018-06-21";"2006-04-15";"2017-08-31";"D";"S";"FOOTBALL CLUB ROBERT-ESPAGNE";"FCRE";"pratique du football";"011075";"011075";"mairie";"";" ";"";"";"_";"55435";"55000";"Robert-Espagne";"";"mairie";"";"";"";"55000";"ROBERT ESPAGNE";"FRANCE";"PM";"";"0";"";"D";"2018-06-21 14:06:47"
"W551000003";"";"";"";"551P";"2006-03-23";"2008-12-18";"2006-04-15";"2008-11-25";"D";"S";"LES AMIS DU FESTIVAL RENAISSANCES";"LES AMIS DU FESTIVAL RENAISSANCES";"soutenir chaque année à Bar le Duc un festival de musiqueancienne, de théatre de rue et de de toute les animations qui s'y rattachent, de favoriser le rayonnement de ce festival et de la culture par tout moyen.";"006100";"000000";"";"7";" ";"RUE";"Jeanne d'Arc";"_";"55029";"55000";"Bar-le-Duc";"";"";"";"3 quai Victor Hugo";"";"55000";"BAR LE DUC";"FRANCE";"PM";"";"0";"";"D";"2010-08-20 16:14:16"
"W551000004";"0551001411";"";"";"551P";"1978-06-22";"2010-02-16";"1978-07-06";"0001-01-01";"D";"S";"AMICALE DES SAPEURS POMPIERS DE BAR LE DUC";"AMICALE DES SAPEURS POMPIERS DE BAR...";"maintenir parmi ses membres l'émulation et l'esprit de corps traditionnels et rechercher l'amélioration des conditions matérielles et morales d'existence des sapeurs pompiers et de leurs familles.";"014025";"000000";"Centre de Secours";"";" ";"RTE";"de Reims";"_";"55186";"55000";"Fains-Véel";"";"";"";"10 rue Raymond Poincaré";"";"55000";"TREMONT SUR SAULX";"FRANCE";"PM";"";"0";"";"A";"2010-08-20 16:14:43"
"W551000005";"0551000587";"";"";"551P";"1948-12-11";"2015-04-23";"1948-06-22";"0001-01-01";"D";"S";"FANFARE DE MONTIERS SUR SAULX";"FANFARE DE MONTIERS SUR SAULX";"Enseignement de la musique - auditions musicales.";"006030";"000000";"";"";" ";"";"";"_";"55348";"55290";"Montiers-sur-Saulx";"";"";"";"";"";"55290";"MONTIERS SUR SAULX";"FRANCE";"PM";"";"0";"";"A";"2015-04-23 11:40:57"
"W551000006";"0551001524";"";"";"552S";"1980-11-12";"2021-07-19";"1980-11-28";"0001-01-01";"D";"S";"ASSOCIATION LOCALE ADMR DE REMBERVAL";"ADMR DE REMBERVAL";"organisation de l'aide ménagère aux personnes agées du milieu rural.";"021010";"021000";"";"11";" ";"RUE";"Raymond Poincaré";"_";"55404";"55260";"Pierrefitte-sur-Aire";"";"MAIRIE";"";"5  RUE DE CONDé";"";"55260";"PIERREFITTE SUR AIRE";"FRANCE";"PM";"";"0";"";"A";"2021-07-23 09:29:59"
"W551000007";"0551001771";"";"";"551P";"1985-08-21";"2001-11-14";"1985-08-21";"0001-01-01";"D";"S";"AMICALE DE BAR LE DUC - OVALIE - CLUB";"AMICALE DE BAR LE DUC - OVALIE - CLUB";"soutenir en toutes occasions la section du rugby club de Bar le Duc ; ressrrer les liens d'amitié des pratiquants du rugby au sein du rugby club de Bar le Duc ; faire participer plus intensément le public à la vie de la section ; obtenir des fonds par des manifestations et festivités diverses pour la section ; gérer un local pour les réunions de la section du rugby club de Bar le duc.";"011080";"011000";"";"17";" ";"RUE";"des Grèves";"_";"55120";"55000";"Combles-en-Barrois";"";"";"";"17 Rue des Grèves";"";"55000";"COMBLES EN BARROIS";"FRANCE";"PM";"";"0";"";"A";"2008-01-03 16:06:15"
"W551000008";"0551001771";"";"";"551P";"2006-03-23";"2018-10-25";"0001-01-01";"0001-01-01";"D";"S";"AMICALE DE BAR LE DUC OVALIE CLUB";"BAR LE DUC OVALIE CLUB - (CLUB DE R...";"SOUTENIR EN TOUTES OCCASIONS LA SECTION DE BAR LE DUC OVALIE CLUB (CLUB DE RUGBY) RESSERER LES LIENS D'AMITIE DES PRATIQUANTS DU RUGBY AU SEIN DU CLUB ; FAIRE PARTICIPER PLUS INTENS2MENT LE PUBLIC 0 LA VIE DU CLUB ; OBTENIR DES FONDS PAR DES MANIFESTATIONS ET FESTIVITES DIVERSES ; GERER UN LOCAL POUR LES REUNIONS DU CLUB.";"011080";"011000";"";"19 bis";" ";"RUE";"Robert Luherre";"_";"55029";"55000";"Bar-le-Duc";"";"";"";"17 Rue DES Grèves";"";"55000";"BAR LE DUC";"FRANCE";"PM";"";"0";"";"A";"2018-11-07 11:48:26"
"W551000009";"0551001169";"";"";"551P";"2006-01-03";"2016-03-07";"1972-01-28";"0001-01-01";"D";"S";"ORCHESTRE D'HARMONIE DE REVIGNY";"ORCHESTRE D'HARMONIE DE REVIGNY";"organiser des mainifestations de l'orchestre (concerts etc.....) des activités divertissantes publiques et privées (festivals, soirées dansantes, concerts etc.......) des évènements culturels - développer la pratique musicale (stages musicaux, répétitions de pupitres etc....)~LC~";"006030";"000000";"Maison Dargent";"2";" ";"RUE";"Leclerc";"_";"55427";"55800";"Revigny-sur-Ornain";"";"";"";"Maison d'Argent";"";"55800";"REVIGNY SUR ORNAIN";"FRANCE";"PM";"";"0";"";"A";"2016-03-07 15:09:50"
"W551000010";"2005";"";"";"551P";"1988-11-28";"2012-04-13";"1988-12-21";"0001-01-01";"D";"S";"CAP INSTITUT DES FORCES DE VENTE 55";"I.F.V. 55";"permettre des contactes entre anciens et nouveaux stagiaires et également avec l'équipe pédagogiques. permettre par ailleurs la promotion de I.F.V. 55 et ses activités.";"015070";"015070";"Batiment AMIFOP";"";" ";"";"Parc Bradfer";"_";"55029";"55000";"Bar-le-Duc";"";"Batiment AMIFOP";"";"Parc Bradfer";"";"55000";"BAR LE DUC";"FRANCE";"PM";"";"0";"";"A";"2012-04-18 10:58:37"
